ZIP,TOWN,COUNTY
23950,La Crosse,Mecklenburg County
22833,Lacey Spring,Rockingham County
23694,Lackey,York County
22501,Ladysmith,Caroline County
24351,Lambsburg,Carroll County
22503,Lancaster,Lancaster County
22507,Lancaster,Lancaster County
22504,Laneview,Essex County
23089,Lanexa,New Kent County
23665,Langley Air Force Base,York County
24352,Laurel Fork,Carroll County
23868,Lawrenceville,Brunswick County
24266,Lebanon,Russell County
20175,Leesburg,Loudoun County
20176,Leesburg,Loudoun County
20177,Leesburg,Loudoun County
20178,Leesburg,Loudoun County
22725,Leon,Madison County
24450,Lexington,Rockbridge County
23090,Lightfoot,James City
22726,Lignum,Culpeper County
20160,Lincoln,Loudoun County
22642,Linden,Warren County
22834,Linville,Rockingham County
23091,Little Plymouth,King and Queen County
22507,Lively,Lancaster County
22948,Locust Dale,Madison County
22508,Locust Grove,Orange County
23092,Locust Hill,Middlesex County
23404,Locustville,Accomack County
24569,Long Island,Pittsylvania County
22509,Loretto,Essex County
22079,Lorton,Fairfax County
22199,Lorton,Fairfax County
22511,Lottsburg,Northumberland County
23093,Louisa,Louisa County
20180,Lovettsville,Loudoun County
22949,Lovingston,Nelson County
24457,Low Moor,Alleghany County
24570,Lowry,Bedford County
23952,Lunenburg,Lunenburg County
22835,Luray,Page County
24571,Lynch Station,Campbell County
24501,Lynchburg,Lynchburg City
24502,Lynchburg,Lynchburg City
24503,Lynchburg,Lynchburg City
24504,Lynchburg,Lynchburg City
24505,Lynchburg,Lynchburg City
24506,Lynchburg,Lynchburg City
24512,Lynchburg,Lynchburg City
24513,Lynchburg,Lynchburg City
24514,Lynchburg,Lynchburg City
24515,Lynchburg,Lynchburg City
22952,Lyndhurst,Augusta County
23405,Machipongo,Northampton County
23101,Macon,Powhatan County
22727,Madison,Madison County
24572,Madison Heights,Amherst County
23102,Maidens,Goochland County
23103,Manakin Sabot,Goochland County
20108,Manassas,Manassas City
20109,Manassas,Prince William County
20110,Manassas,Manassas City
20111,Manassas,Manassas Park City
20112,Manassas,Prince William County
20113,Manassas,Manassas City
23105,Mannboro,Amelia County
23106,Manquin,King William County
23407,Mappsville,Accomack County
24354,Marion,Smyth County
23408,Marionville,Northampton County
22643,Markham,Fauquier County
20115,Marshall,Fauquier County
20116,Marshall,Fauquier County
24112,Martinsville,Martinsville City
24113,Martinsville,Martinsville City
24114,Martinsville,Martinsville City
24115,Martinsville,Martinsville City
23107,Maryus,Gloucester County
23108,Mascot,King and Queen County
23109,Mathews,Mathews County
23803,Matoaca,Petersburg City
23110,Mattaponi,King and Queen County
22644,Maurertown,Shenandoah County
24627,Mavisdale,Buchanan County
24360,Max Meadows,Wythe County
24628,Maxie,Buchanan County
24269,Mc Clure,Dickenson County
24111,Mc Coy,Pulaski County
24458,Mc Dowell,Highland County
22840,Mc Gaheysville,Rockingham County
23872,Mc Kenney,Dinwiddie County
22101,Mc Lean,Fairfax County
22102,Mc Lean,Fairfax County
22106,Mc Lean,Fairfax County
22107,Mc Lean,Fairfax County
22108,Mc Lean,Fairfax County
22109,Mc Lean,Fairfax County
24458,Mc Dowell,Highland County
22840,Mc Gaheysville,Rockingham County
23872,Mc Kenney,Dinwiddie County
22101,Mc Lean,Fairfax County
22102,Mc Lean,Fairfax County
24120,Meadows Of Dan,Patrick County
24361,Meadowview,Washington County
23409,Mears,Accomack County
23111,Mechanicsville,Hanover County
23116,Mechanicsville,Hanover County
23954,Meherrin,Prince Edward County
23410,Melfa,Accomack County
24270,Mendota,Washington County
23873,Meredithville,Brunswick County
22081,Merrifield,Fairfax County
22082,Merrifield,Fairfax County
22116,Merrifield,Fairfax County
22118,Merrifield,Fairfax County
22119,Merrifield,Fairfax County
22120,Merrifield,Fairfax County
22513,Merry Point,Lancaster County
24459,Middlebrook,Augusta County
20117,Middleburg,Loudoun County
20118,Middleburg,Loudoun County
22645,Middletown,Frederick County
22649,Middletown,Frederick County
22728,Midland,Fauquier County
23112,Midlothian,Chesterfield County
23113,Midlothian,Chesterfield County
23114,Midlothian,Chesterfield County
22514,Milford,Caroline County
24460,Millboro,Bath County
23115,Millers Tavern,Essex County
22646,Millwood,Clarke County
22508,Mine Run,Orange County
23117,Mineral,Louisa County
24463,Mint Spring,Augusta County
22729,Mitchells,Culpeper County
23412,Modest Town,Accomack County
22517,Mollusk,Lancaster County
24121,Moneta,Bedford County
24574,Monroe,Amherst County
24464,Montebello,Nelson County
24465,Monterey,Highland County
23192,Montpelier,Hanover County
22957,Montpelier Station,Orange County
22520,Montross,Westmoreland County
24122,Montvale,Bedford County
23119,Moon,Mathews County
22523,Morattico,Lancaster County
23120,Moseley,Chesterfield County
22841,Mount Crawford,Rockingham County
22524,Mount Holly,Westmoreland County
22842,Mount Jackson,Shenandoah County
24467,Mount Sidney,Augusta County
22843,Mount Solon,Augusta County
22121,Mount Vernon,Fairfax County
24363,Mouth Of Wilson,Grayson County
24468,Mustoe,Highland County
24124,Narrows,Giles County
24576,Naruna,Campbell County
23413,Nassawadox,Northampton County
24577,Nathalie,Halifax County
24578,Natural Bridge,Rockbridge County
24579,Natural Bridge Station,Rockbridge County
22958,Nellysford,Nelson County
24580,Nelson,Mecklenburg County
23414,Nelsonia,Accomack County
23123,New Canton,Buckingham County
24127,New Castle,Craig County
23415,New Church,Accomack County
24469,New Hope,Augusta County
23124,New Kent,New Kent County
22844,New Market,Shenandoah County
23125,New Point,Mathews County
24129,New River,Pulaski County
24126,Newbern,Pulaski County
22122,Newington,Fairfax County
24128,Newport,Giles County
23601,Newport News,Newport News City
23602,Newport News,Newport News City
23603,Newport News,Newport News City
23605,Newport News,Newport News City
23606,Newport News,Newport News City
23607,Newport News,Newport News City
23608,Newport News,Newport News City
23609,Newport News,Newport News City
23612,Newport News,Newport News City
23628,Newport News,Newport News City
23874,Newsoms,Southampton County
23126,Newtown,King and Queen County
24271,Nickelsville,Scott County
22526,Ninde,King George County
20181,Nokesville,Prince William County
20182,Nokesville,Prince William County
24272,Nora,Dickenson County
23501,Norfolk,Norfolk City
23502,Norfolk,Norfolk City
23503,Norfolk,Norfolk City
23504,Norfolk,Norfolk City
23505,Norfolk,Norfolk City
23506,Norfolk,Norfolk City
23507,Norfolk,Norfolk City
23508,Norfolk,Norfolk City
23509,Norfolk,Norfolk City
23510,Norfolk,Norfolk City
23511,Norfolk,Norfolk City
23512,Norfolk,Norfolk City
23513,Norfolk,Norfolk City
23514,Norfolk,Norfolk City
23515,Norfolk,Norfolk City
23517,Norfolk,Norfolk City
23518,Norfolk,Norfolk City
23519,Norfolk,Norfolk City
23520,Norfolk,Norfolk City
23521,Norfolk,Virginia Beach City
23523,Norfolk,Norfolk City
23529,Norfolk,Norfolk City
23541,Norfolk,Norfolk City
23551,Norfolk,Norfolk City
23127,Norge,James City County
23128,North,Mathews County
22959,North Garden,Albemarle County
24630,North Tazewell,Tazewell County
24273,Norton,Norton City
24581,Norwood,Nelson County
23955,Nottoway,Nottoway County
22528,Nuttsville,Lancaster County
23396,Oak Hall,Accomack County
23416,Oak Hall,Accomack County
22730,Oakpark,Madison County
22124,Oakton,Fairfax County
24631,Oakwood,Buchanan County
22125,Occoquan,Prince William County
23129,Oilville,Goochland County
22529,Oldhams,Westmoreland County
23417,Onancock,Accomack County
23130,Onemo,Mathews County
23418,Onley,Accomack County
22530,Ophelia,Northumberland County
22960,Orange,Orange County
23131,Ordinary,Gloucester County
24130,Oriskany,Botetourt County
22845,Orkney Springs,Shenandoah County
20128,Orlean,Fauquier County
23419,Oyster,Northampton County
20129,Paeonian Springs,Loudoun County
24131,Paint Bank,Craig County
23420,Painter,Accomack County
22963,Palmyra,Fluvanna County
23958,Pamplin,Appomattox County
20130,Paris,Clarke County
23421,Parksley,Accomack County
24132,Parrott,Pulaski County
22534,Partlow,Spotsylvania County
24133,Patrick Springs,Patrick County
24134,Pearisburg,Giles County
24136,Pembroke,Giles County
24137,Penhook,Franklin County
22846,Penn Laird,Rockingham County
24277,Pennington Gap,Lee County
23803,Petersburg,Petersburg City
23804,Petersburg,Petersburg City
23805,Petersburg,Prince George County
23959,Phenix,Charlotte County
20131,Philomont,Loudoun County
24634,Pilgrims Knob,Buchanan County
24138,Pilot,Montgomery County
22964,Piney River,Nelson County
24139,Pittsville,Pittsylvania County
22848,Pleasant Valley,Rockingham County
24635,Pocahontas,Tazewell County
23662,Poquoson,Poquoson City
23138,Port Haywood,Mathews County
24471,Port Republic,Rockingham County
22535,Port Royal,Caroline County
23701,Portsmouth,Portsmouth City
23702,Portsmouth,Portsmouth City
23703,Portsmouth,Portsmouth City
23704,Portsmouth,Portsmouth City
23705,Portsmouth,Portsmouth City
23707,Portsmouth,Portsmouth City
23708,Portsmouth,Portsmouth City
23709,Portsmouth,Portsmouth City
24279,Pound,Wise County
24637,Pounding Mill,Tazewell County
23139,Powhatan,Powhatan County
22731,Pratts,Madison County
23875,Prince George,Prince George County
22192,Woodbridge,Prince William County
23960,Prospect,Prince Edward County
23140,Providence Forge,New Kent County
24301,Pulaski,Pulaski County
23422,Pungoteague,Accomack County
20132,Purcellville,Loudoun County
20134,Purcellville,Loudoun County
22134,Quantico,Prince William County
22135,Quantico,Prince William County
22847,Quicksburg,Shenandoah County
23423,Quinby,Accomack County
22965,Quinque,Greene County
23141,Quinton,New Kent County
24141,Radford,Radford City
24142,Radford,Radford City
24143,Radford,Radford City
22732,Radiant,Madison County
23962,Randolph,Charlotte County
24472,Raphine,Rockbridge County
22733,Rapidan,Culpeper County
22538,Rappahannock Academy,Caroline County
24639,Raven,Tazewell County
23876,Rawlings,Brunswick County
20140,Rectortown,Fauquier County
24640,Red Ash,Tazewell County
23963,Red House,Charlotte County
23964,Red Oak,Charlotte County
24146,Redwood,Franklin County
22539,Reedville,Northumberland County
22734,Remington,Fauquier County
23424,Rescue,Isle of Wight County
20190,Reston,Fairfax County
20191,Reston,Fairfax County
